project_id,ticket_id,user_id,project_name,title,description,required_skills,priority,status,deadline,members_needed,members,created,updated
k7l8m9n0,0027,PM-001,foodsavr_app,"Plan Frontend Component Structure","Identify reusable UI components needed (e.g., ItemCard, InputField).","React.js;Next.js;TypeScript",high,done,2025-05-16T00:00:00.000Z,"Frontend Developer","Aria Stone;Skye Rain",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
o1p2q3r4,0028,PM-001,foodsavr_app,"Setup Git Repository","Initialize Git repo and define branching strategy.","Git",medium,done,2025-05-17T00:00:00.000Z,"DevOps Engineer","Zane Frost",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
s5t6u7v8,0029,PM-001,foodsavr_app,"Configure Basic Build Pipeline","Set up automated build process for frontend and backend.","CI/CD Pipelines;Docker",medium,done,2025-05-21T00:00:00.000Z,"DevOps Engineer","Zane Frost",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
w9x0y1z2,0030,PM-001,foodsavr_app,"Configure Basic Test Pipeline","Integrate automated unit/integration tests into pipeline.","CI/CD Pipelines;Jest;Cypress",medium,done,2025-05-23T00:00:00.000Z,"DevOps Engineer;QA Engineer","Zane Frost;Sage Orion",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
a3b4c5d6,0031,PM-001,foodsavr_app,"Implement User Model & Schema","Create user model in DB and corresponding backend schema.","Node.js;MongoDB",high,done,2025-05-24T00:00:00.000Z,"Backend Developer","Mason Rivers",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
e7f8g9h0,0032,PM-001,foodsavr_app,"Implement Registration Endpoint","Create API endpoint for user sign-up.","Node.js;Express.js;API Development",high,done,2025-05-28T00:00:00.000Z,"Backend Developer","Mason Rivers",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
i1j2k3l4,0033,PM-001,foodsavr_app,"Implement Login Endpoint & JWT","Create API endpoint for user login and issue JWT tokens.","Node.js;Express.js;API Development;JWT",high,done,2025-05-30T00:00:00.000Z,"Backend Developer","Mason Rivers",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
m5n6o7p8,0034,PM-001,foodsavr_app,"Implement Inventory Model & Schema","Create inventory item model in DB and backend schema.","Node.js;MongoDB",high,done,2025-05-29T00:00:00.000Z,"Backend Developer","Kai Ember",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
q9r0s1t2,0035,PM-001,foodsavr_app,"Implement Add Inventory Item Endpoint","API endpoint to add a new item to user inventory.","Node.js;Express.js;API Development",high,done,2025-06-03T00:00:00.000Z,"Backend Developer","Kai Ember",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
u3v4w5x6,0036,PM-001,foodsavr_app,"Implement Get Inventory List Endpoint","API endpoint to retrieve user inventory.","Node.js;Express.js;API Development",high,done,2025-06-04T00:00:00.000Z,"Backend Developer","Mason Rivers",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
y7z8a9b0,0037,PM-001,foodsavr_app,"Implement Update/Delete Inventory Item Endpoints","API endpoints to modify or remove inventory items.","Node.js;Express.js;API Development",high,in-progress,2025-06-06T00:00:00.000Z,"Backend Developer","Kai Ember;Mason Rivers",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
c1d2e3f4,0038,PM-001,foodsavr_app,"Setup Next.js Project Structure","Initialize Next.js app, configure routing, basic layout files.","Next.js;TypeScript",high,done,2025-05-24T00:00:00.000Z,"Frontend Developer","Aria Stone",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
g5h6i7j8,0039,PM-001,foodsavr_app,"Implement Main Navigation","Build sidebar/header navigation components.","React.js;Next.js;Tailwind CSS",high,done,2025-05-28T00:00:00.000Z,"Frontend Developer","Skye Rain",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
k9l0m1n2,0040,PM-001,foodsavr_app,"Integrate Shadcn/UI & Theme","Setup Shadcn/UI components and apply basic theme.","React.js;Tailwind CSS;Shadcn/UI",medium,done,2025-05-30T00:00:00.000Z,"Frontend Developer","Aria Stone;Skye Rain",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
o3p4q5r6,0041,PM-001,foodsavr_app,"Build Inventory Item Card Component","Create reusable component to display a single inventory item.","React.js;Next.js;TypeScript",high,done,2025-06-07T00:00:00.000Z,"Frontend Developer","Aria Stone",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
s7t8u9v0,0042,PM-001,foodsavr_app,"Build Inventory List View","Create page/component to display the list of inventory items.","React.js;Next.js;TypeScript",high,in-progress,2025-06-11T00:00:00.000Z,"Frontend Developer","Skye Rain",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
w1x2y3z4,0043,PM-001,foodsavr_app,"Build Add/Edit Inventory Form","Create form component for adding/editing items.","React.js;Next.js;TypeScript;Forms",high,in-progress,2025-06-13T00:00:00.000Z,"Frontend Developer","Aria Stone;Skye Rain",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
a5b6c7d8,0044,PM-001,foodsavr_app,"Define Unit Testing Strategy","Plan approach for unit testing backend and frontend code.","Jest;React Testing Library",medium,done,2025-05-20T00:00:00.000Z,"QA Engineer","Sage Orion",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
e9f0g1h2,0045,PM-001,foodsavr_app,"Define Integration Testing Strategy","Plan approach for testing interactions between components/API.","Jest;Supertest",medium,done,2025-05-21T00:00:00.000Z,"QA Engineer","Sage Orion",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
i3j4k5l6,0046,PM-001,foodsavr_app,"Define E2E Testing Strategy","Plan approach for end-to-end testing using Cypress.","Cypress;E2E Testing",medium,in-progress,2025-05-23T00:00:00.000Z,"QA Engineer","Sage Orion",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
m7n8o9p0,0047,PM-001,foodsavr_app,"Research Recipe APIs/Data Sources","Identify potential external APIs or datasets for recipes.","API Research",medium,in-progress,2025-06-10T00:00:00.000Z,"Backend Developer","Kai Ember",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
q1r2s3t4,0048,PM-001,foodsavr_app,"Implement Recipe Suggestion Logic","Develop algorithm/logic to match inventory items to recipes.","Node.js;Algorithm Design",high,in-progress,2025-06-18T00:00:00.000Z,"Backend Developer;Full Stack Developer","Kai Ember;Luna Cross",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
u5v6w7x8,0049,PM-001,foodsavr_app,"Implement Get Recipes Endpoint","Create API endpoint to return recipe suggestions based on inventory.","Node.js;API Development",high,todo,2025-06-20T00:00:00.000Z,"Backend Developer","Kai Ember",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
y9z0a1b2,0050,PM-001,foodsavr_app,"Build Recipe Card Component","Create reusable component to display a single recipe suggestion.","React.js;Next.js;TypeScript",medium,todo,2025-06-24T00:00:00.000Z,"Frontend Developer","Skye Rain",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
c3d4e5f6,0051,PM-001,foodsavr_app,"Build Recipe List View","Create page/component to display list of suggested recipes.","React.js;Next.js;TypeScript",medium,todo,2025-06-27T00:00:00.000Z,"Frontend Developer;Full Stack Developer","Skye Rain;Luna Cross",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
